City,Latitude,Longitude,Temperature (F),Maximum Temperature (F),Humidity,Cloudiness,Wind Speed,Country,Data
Hilo,19.7297,-155.09,73.69,79.29,94,90,4.61,US,1631786705
Tasiilaq,65.6145,-37.6368,37.56,37.56,80,96,6.06,GL,1631786707
Mataura,-46.1927,168.8643,39.47,39.47,91,54,2.77,NZ,1631786709
Chui,-33.6971,-53.4616,46.56,46.56,83,0,6.51,UY,1631786709
Lucapa,-8.4192,20.7447,86.04,86.04,40,93,5.39,AO,1631786711
Port Alfred,-33.5906,26.891,61.32,61.32,72,96,18.1,ZA,1631786557
Chokurdakh,70.6333,147.9167,36.82,36.82,80,100,8.08,RU,1631786713
Tiruchchendur,8.4833,78.1167,98.89,98.89,60,75,7.16,IN,1631786714
Vaini,-21.2,-175.2,75.36,75.36,94,20,4.61,TO,1631786715
Thompson,55.7435,-97.8558,42.66,42.66,90,0,8.84,CA,1631786716
Ostrovnoy,68.0531,39.5131,45.48,45.48,87,100,19.1,RU,1631786717
Inírida,3.8653,-67.9239,71.6,71.6,99,100,0.22,CO,1631786718
Avesta,60.1455,16.1679,49.66,50.13,79,100,7.4,SE,1631786541
Howard Springs,-12.497,131.047,85.75,85.98,68,16,10.94,AU,1631786720
Chitral,35.8462,71.7858,88.12,88.12,9,0,6.44,PK,1631786721
Villaviciosa,43.4813,-5.4357,67.62,74.39,77,95,2.28,ES,1631786721
Goundam,16.4145,-3.6708,88.21,88.21,47,83,11.03,ML,1631786723
Alofi,-19.0595,-169.9187,77.5,77.5,75,3,19.91,NU,1631786542
Saskylakh,71.9167,114.0833,40.6,40.6,95,100,16.31,RU,1631786724
Rikitea,-23.1203,-134.9692,73.02,73.02,77,2,13.13,PF,1631786726
Songea,-10.6833,35.65,87.19,87.19,29,10,6.22,TZ,1631786728
Zhigansk,66.7697,123.3711,45.07,45.07,62,100,1.28,RU,1631786729
Bluff,-46.6,168.3333,39.79,39.79,68,75,12.08,NZ,1631786731
Kiruna,67.8557,20.2251,40.12,40.12,70,20,11.5,SE,1631786732
Punta Arenas,-53.15,-70.9167,32.11,32.11,80,75,4.61,CL,1631786733
Nago,26.5881,127.9761,82.94,84.27,82,8,7.96,JP,1631786513
Severo-Kuril'sk,50.6789,156.125,48.83,48.83,81,5,8.25,RU,1631786735
Baykit,61.67,96.37,48.7,48.7,51,34,4.16,RU,1631786737
Mar del Plata,-38.0023,-57.5575,44.62,44.62,81,0,11.5,AR,1631786738
Palmer,42.1584,-72.3287,64.04,66.61,82,75,4.61,US,1631786740
Budogoshch',59.2816,32.4707,49.1,49.1,66,100,3.33,RU,1631786741
Ushuaia,-54.8,-68.3,24.69,24.69,89,99,4.76,AR,1631786742
Torbay,47.6666,-52.7314,53.82,55.58,85,87,4.0,CA,1631786744
Cape Town,-33.9258,18.4232,65.88,67.1,57,11,5.01,ZA,1631786746
Isangel,-19.55,169.2667,72.55,72.55,85,87,9.42,VU,1631786747
Butaritari,3.0707,172.7902,82.99,82.99,69,58,15.41,KI,1631786748
Lagoa,39.05,-27.9833,71.06,71.06,79,5,10.02,PT,1631786749
Puerto Ayora,-0.7393,-90.3518,66.54,66.54,93,43,4.0,EC,1631786751
Tezu,27.9167,96.1667,86.86,86.86,62,88,1.16,IN,1631786752
Arrondissement de Saint-Denis,48.9167,2.3333,67.21,69.39,66,0,1.01,FR,1631786752
Tuktoyaktuk,69.4541,-133.0374,43.63,43.63,87,45,7.99,CA,1631786754
Srednekolymsk,67.45,153.6833,37.35,37.35,69,80,5.82,RU,1631786755
Archidona,37.0965,-4.3887,71.15,74.23,53,0,3.22,ES,1631786757
Busselton,-33.65,115.3333,51.04,51.04,59,81,15.46,AU,1631786758
Honningsvåg,70.9821,25.9704,44.35,44.35,70,40,11.5,NO,1631786759
